date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:47	177/177	---MCZ	200	added ('OK')	text/plain	etag:W/%226756ae0e-1d0%22	https://open.spotify.com/robots.txt		(from )
14:51:48	118595/118595	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Dec%202024%2009:51:46%20GMT	https://open.spotify.com/	D:/fjwbfhba/open.spotify.com/index.html	(from )
14:51:48	1129/1129	---M--	200	added ('OK')	image/png	etag:%22668e11e82120297b1878c4db77a44ab2%22	https://open.spotifycdn.com/cdn/images/favicon32.b64ecc03.png	D:/fjwbfhba/open.spotifycdn.com/cdn/images/favicon32.b64ecc03.png	(from https://open.spotify.com/)
14:51:49	491/491	---M--	200	added ('OK')	image/png	etag:%2247309f383eb16b0647712ee1500f2741%22	https://open.spotifycdn.com/cdn/images/favicon16.1c487bff.png	D:/fjwbfhba/open.spotifycdn.com/cdn/images/favicon16.1c487bff.png	(from https://open.spotify.com/)
14:51:49	255106/255106	---M--	200	added ('OK')	image/png	etag:%224a690ab7f1a6174d2b198393ef37197e%22	https://open.spotifycdn.com/cdn/images/og-image.548bc4b7.png	D:/fjwbfhba/open.spotifycdn.com/cdn/images/og-image.548bc4b7.png	(from https://open.spotify.com/)
14:51:49	33/33	---MCZ	302	error ('Found')	text/html	date:Mon,%2009%20Dec%202024%2009:51:49%20GMT	https://open.spotify.com/intl-id	D:/fjwbfhba/open.spotify.com/intl-id	(from https://open.spotify.com/)
14:51:50	33/33	---MCZ	302	error ('Found')	text/html	date:Mon,%2009%20Dec%202024%2009:51:49%20GMT	https://open.spotify.com/intl-de	D:/fjwbfhba/open.spotify.com/intl-de	(from https://open.spotify.com/)
14:51:50	33/33	---MCZ	302	error ('Found')	text/html	date:Mon,%2009%20Dec%202024%2009:51:49%20GMT	https://open.spotify.com/intl-pt	D:/fjwbfhba/open.spotify.com/intl-pt	(from https://open.spotify.com/)
14:51:50	33/33	---MCZ	302	error ('Found')	text/html	date:Mon,%2009%20Dec%202024%2009:51:50%20GMT	https://open.spotify.com/intl-ja	D:/fjwbfhba/open.spotify.com/intl-ja	(from https://open.spotify.com/)
14:51:51	33/33	---MCZ	302	error ('Found')	text/html	date:Mon,%2009%20Dec%202024%2009:51:50%20GMT	https://open.spotify.com/intl-fr	D:/fjwbfhba/open.spotify.com/intl-fr	(from https://open.spotify.com/)
